"Aparência";"Temperatura";"Umidade";"Ventando";"Jogar"
"sol";"quente";"alta";"falso";"não"
"sol";"quente";"alta";"verdadeiro";"não"
"nublado";"quente";"alta";"falso";"sim"
"chuva";"agradável";"alta";"falso";"sim"
"chuva";"fria";"normal";"falso";"sim"
"chuva";"fria";"normal";"verdadeiro";"não"
"nublado";"fria";"normal";"verdadeiro";"sim"
"sol";"agradável";"alta";"falso";"não"
"sol";"fria";"normal";"falso";"sim"
"chuva";"agradável";"normal";"falso";"sim"
"sol";"agradável";"normal";"verdadeiro";"sim"
"nublado";"agradável";"alta";"verdadeiro";"sim"
"nublado";"quente";"normal";"falso";"sim"
"chuva";"agradável";"alta";"verdadeiro";"não"
